nation,league,season,date,round,home,away,HGHT,AGHT,HTR,HG2H,AG2H,2HR,HGFT,AGFT,FTR,HGT,AGT,Goals_HT,Goals_FT,Goals_2H
BRAZIL,SERIE B,2023,2023-06-07,11,CRB,Mirassol,1,0,H,1,0,H,2,0,H,"36, 57",,1,2,1
BRAZIL,SERIE B,2023,2023-06-07,11,Novorizontino,Guarani,0,0,D,1,0,H,1,0,H,47,,0,1,1
BRAZIL,SERIE B,2023,2023-06-07,11,Sport Recife,Avai,1,0,H,1,1,D,2,1,H,"3, 49",90+2,1,3,2
BRAZIL,SERIE B,2023,2023-06-07,11,Sampaio Correa,Londrina,1,0,H,1,0,H,2,0,H,"6, 66",,1,2,1
BRAZIL,SERIE B,2023,2023-06-08,11,Criciuma,Juventude,0,0,D,0,1,A,0,1,A,,77,0,1,1
BRAZIL,SERIE B,2023,2023-06-09,12,ABC,Chapecoense-SC,0,0,D,1,1,D,1,1,D,59,89,0,2,2
BRAZIL,SERIE B,2023,2023-06-10,12,Vila Nova FC,Guarani,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE B,2023,2023-06-10,12,Novorizontino,Sampaio Correa,1,0,H,0,0,D,1,0,H,8,,1,1,0
BRAZIL,SERIE B,2023,2023-06-10,12,Ituano,Atletico GO,0,0,D,1,1,D,1,1,D,56,87,0,2,2
BRAZIL,SERIE B,2023,2023-06-10,12,Ceara,CRB,1,1,D,0,2,A,1,3,A,38,"32, 59, 90+5",2,4,2
BRAZIL,SERIE B,2023,2023-06-11,12,Avai,Botafogo SP,1,0,H,0,1,A,1,1,D,11,69,1,2,1
BRAZIL,SERIE B,2023,2023-06-11,12,Juventude,Tombense,0,0,D,1,2,A,1,2,A,59,"67, 90+9",0,3,3
BRAZIL,SERIE B,2023,2023-06-11,12,Vitoria,Criciuma,0,1,A,0,0,D,0,1,A,,15,1,1,0
BRAZIL,SERIE B,2023,2023-06-11,12,Ponte Preta,Sport Recife,1,1,D,0,0,D,1,1,D,21,45+7,2,2,0
BRAZIL,SERIE B,2023,2023-06-11,12,Londrina,Mirassol,1,0,H,0,2,A,1,2,A,45,"76, 90+6",1,3,2
BRAZIL,SERIE B,2023,2023-06-18,2,Sport Recife,Vila Nova FC,1,0,H,0,0,D,1,0,H,25,,1,1,0
BRAZIL,SERIE B,2023,2023-06-21,13,CRB,Ituano,2,1,H,0,1,A,2,2,D,"35, 38","15, 67",3,4,1
BRAZIL,SERIE B,2023,2023-06-22,13,Sport Recife,Juventude,2,0,H,1,0,H,3,0,H,"11, 32, 64",,2,3,1
BRAZIL,SERIE B,2023,2023-06-23,13,Atletico GO,Ponte Preta,1,0,H,0,0,D,1,0,H,4,,1,1,0
BRAZIL,SERIE B,2023,2023-06-24,13,Chapecoense-SC,Criciuma,0,1,A,1,0,H,1,1,D,60,32,1,2,1
BRAZIL,SERIE B,2023,2023-06-24,13,Tombense,Novorizontino,0,0,D,1,2,A,1,2,A,47,"53, 68",0,3,3
BRAZIL,SERIE B,2023,2023-06-24,13,Botafogo SP,Vila Nova FC,0,2,A,0,1,A,0,3,A,,"23, 34, 55",2,3,1
BRAZIL,SERIE B,2023,2023-06-24,13,Avai,Londrina,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE B,2023,2023-06-25,13,Guarani,Vitoria,1,0,H,1,0,H,2,0,H,"11, 55",,1,2,1
BRAZIL,SERIE B,2023,2023-06-25,13,Mirassol,ABC,1,1,D,2,1,H,3,2,H,"45+3, 48, 61","34, 82",2,5,3
BRAZIL,SERIE B,2023,2023-06-25,13,Sampaio Correa,Ceara,1,1,D,0,0,D,1,1,D,15,40,2,2,0
BRAZIL,SERIE B,2023,2023-06-27,14,Criciuma,CRB,2,0,H,0,1,A,2,1,H,"12, 34",89,2,3,1
BRAZIL,SERIE B,2023,2023-06-27,14,Chapecoense-SC,Sport Recife,0,1,A,1,0,H,1,1,D,90,40,1,2,1
BRAZIL,SERIE B,2023,2023-06-27,14,Vila Nova FC,Tombense,0,0,D,1,0,H,1,0,H,90+2,,0,1,1
BRAZIL,SERIE B,2023,2023-06-27,14,Novorizontino,Botafogo SP,0,1,A,0,0,D,0,1,A,,37,1,1,0
BRAZIL,SERIE B,2023,2023-06-28,14,Guarani,Mirassol,1,0,H,1,1,D,2,1,H,"26, 86",50,1,3,2
BRAZIL,SERIE B,2023,2023-06-28,14,Ituano,Ponte Preta,0,0,D,0,1,A,0,1,A,,79,0,1,1
BRAZIL,SERIE B,2023,2023-06-28,14,Londrina,Juventude,1,0,H,0,2,A,1,2,A,33,"66, 68",1,3,2
BRAZIL,SERIE B,2023,2023-06-28,14,ABC,Atletico GO,0,0,D,1,1,D,1,1,D,81,90+14,0,2,2
BRAZIL,SERIE B,2023,2023-06-28,14,Ceara,Avai,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE B,2023,2023-06-28,14,Vitoria,Sampaio Correa,0,1,A,2,0,H,2,1,H,"60, 63",5,1,3,2
BRAZIL,SERIE B,2023,2023-06-30,15,Tombense,Chapecoense-SC,1,0,H,3,2,H,4,2,H,"35, 67, 87, 90+5","54, 90+1",1,6,5
BRAZIL,SERIE B,2023,2023-07-01,15,CRB,Londrina,2,0,H,0,1,A,2,1,H,"34, 45+5",58,2,3,1
BRAZIL,SERIE B,2023,2023-07-01,15,Atletico GO,Vila Nova FC,0,0,D,1,1,D,1,1,D,88,90+6,0,2,2
BRAZIL,SERIE B,2023,2023-07-01,15,Sampaio Correa,Criciuma,0,1,A,0,1,A,0,2,A,,"23, 86",1,2,1
BRAZIL,SERIE B,2023,2023-07-01,15,Avai,ABC,0,1,A,0,1,A,0,2,A,,"38, 70",1,2,1
BRAZIL,SERIE B,2023,2023-07-02,15,Ponte Preta,Novorizontino,0,0,D,1,0,H,1,0,H,83,,0,1,1
BRAZIL,SERIE B,2023,2023-07-02,15,Sport Recife,Ceara,2,0,H,0,0,D,2,0,H,"30, 45+5",,2,2,0
BRAZIL,SERIE B,2023,2023-07-02,15,Juventude,Vitoria,0,0,D,1,0,H,1,0,H,62,,0,1,1
BRAZIL,SERIE B,2023,2023-07-03,15,Mirassol,Ituano,0,0,D,0,1,A,0,1,A,,90+7,0,1,1
BRAZIL,SERIE B,2023,2023-07-03,15,Botafogo SP,Guarani,0,0,D,1,0,H,1,0,H,68,,0,1,1
BRAZIL,SERIE B,2023,2023-07-05,1,CRB,Sport Recife,1,0,H,1,0,H,2,0,H,"17, 86",,1,2,1
BRAZIL,SERIE B,2023,2023-07-07,16,Novorizontino,Atletico GO,1,0,H,1,2,A,2,2,D,"45+3, 76","90, 90+6",1,4,3
BRAZIL,SERIE B,2023,2023-07-07,16,Ceara,Botafogo SP,1,0,H,2,0,H,3,0,H,"32, 80, 90+3",,1,3,2
BRAZIL,SERIE B,2023,2023-07-08,16,Tombense,Sampaio Correa,0,0,D,0,1,A,0,1,A,,67,0,1,1
BRAZIL,SERIE B,2023,2023-07-08,16,Avai,Ponte Preta,0,1,A,0,0,D,0,1,A,,42,1,1,0
BRAZIL,SERIE B,2023,2023-07-08,16,Ituano,Juventude,0,0,D,1,1,D,1,1,D,90+4,53,0,2,2
BRAZIL,SERIE B,2023,2023-07-08,16,ABC,Criciuma,0,1,A,0,0,D,0,1,A,,32,1,1,0
BRAZIL,SERIE B,2023,2023-07-08,16,Guarani,Londrina,1,1,D,1,0,H,2,1,H,"24, 90+5",43,2,3,1
BRAZIL,SERIE B,2023,2023-07-09,16,Chapecoense-SC,CRB,0,0,D,2,1,H,2,1,H,"52, 56",81,0,3,3
BRAZIL,SERIE B,2023,2023-07-09,16,Sport Recife,Mirassol,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE B,2023,2023-07-10,16,Vila Nova FC,Vitoria,0,0,D,1,0,H,1,0,H,76,,0,1,1
BRAZIL,SERIE B,2023,2023-07-13,17,Criciuma,Guarani,0,1,A,1,0,H,1,1,D,58,9,1,2,1
BRAZIL,SERIE B,2023,2023-07-14,17,Sampaio Correa,Ituano,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE B,2023,2023-07-14,17,Atletico GO,Sport Recife,3,1,H,0,0,D,3,1,H,"3, 16, 42",10,4,4,0
BRAZIL,SERIE B,2023,2023-07-15,17,Ponte Preta,Tombense,0,0,D,0,1,A,0,1,A,,85,0,1,1
BRAZIL,SERIE B,2023,2023-07-15,17,Juventude,ABC,0,1,A,1,0,H,1,1,D,74,32,1,2,1
BRAZIL,SERIE B,2023,2023-07-15,17,Londrina,Vila Nova FC,1,0,H,0,0,D,1,0,H,2,,1,1,0
BRAZIL,SERIE B,2023,2023-07-16,17,Mirassol,Ceara,1,1,D,0,0,D,1,1,D,45+7,44,2,2,0
BRAZIL,SERIE B,2023,2023-07-16,17,Vitoria,Novorizontino,2,0,H,0,1,A,2,1,H,"33, 42",69,2,3,1
